strain	accession	continent	country
A/Kenya/124/2014	EPI_ISL_171375	Africa	 Kenya
A/Kenya/125/2014	EPI_ISL_171376	Africa	 Kenya
A/Kenya/126/2014	EPI_ISL_171359	Africa	 Kenya
A/Kenya/127/2014	EPI_ISL_171399	Africa	 Kenya
A/Kenya/128/2014	EPI_ISL_171377	Africa	 Kenya
A/Mali/011 MOP/2015	EPI_ISL_211908	Africa	 Mali
A/Mali/013 MOP/2015	EPI_ISL_211909	Africa	 Mali
A/Mali/015 MOP/2015	EPI_ISL_211910	Africa	 Mali
A/Mali/016 MOP/2015	EPI_ISL_211911	Africa	 Mali
A/Mali/019 HGT/2015	EPI_ISL_211687	Africa	 Mali
A/Mali/021 SIK/2015	EPI_ISL_206181	Africa	 Mali
A/Mali/022 HGT/2015	EPI_ISL_212999	Africa	 Mali
A/Mali/061 CS/2015	EPI_ISL_211690	Africa	 Mali
A/Mali/067 CS/2015	EPI_ISL_211691	Africa	 Mali
A/Mali/094 CH/2015	EPI_ISL_213000	Africa	 Mali
A/Mali/101 CH/2015	EPI_ISL_224270	Africa	 Mali
A/Mali/102 CH/2015	EPI_ISL_211688	Africa	 Mali
A/Mali/102 CS/2015	EPI_ISL_206180	Africa	 Mali
A/Mali/105 CH/2015	EPI_ISL_211681	Africa	 Mali
A/Mali/106 CS/2015	EPI_ISL_206190	Africa	 Mali
A/Mali/107 CI/2015	EPI_ISL_206168	Africa	 Mali
A/Mali/107 CS/2015	EPI_ISL_206191	Africa	 Mali
A/Mali/108 CI/2015	EPI_ISL_213001	Africa	 Mali
A/Mali/108 CS/2015	EPI_ISL_206192	Africa	 Mali
A/Mali/109 CH/2015	EPI_ISL_211693	Africa	 Mali
A/Mali/109 CS/2015	EPI_ISL_206193	Africa	 Mali
A/Mali/110 CH/2015	EPI_ISL_211685	Africa	 Mali
A/Mali/112 CH/2015	EPI_ISL_213002	Africa	 Mali
A/Mali/115 CI/2015	EPI_ISL_213003	Africa	 Mali
A/Mali/117 CH/2015	EPI_ISL_211912	Africa	 Mali
A/Mali/117 CI/2015	EPI_ISL_206170	Africa	 Mali
A/Mali/117 CS/2015	EPI_ISL_206203	Africa	 Mali
A/Mali/119 CS/2015	EPI_ISL_206208	Africa	 Mali
A/Mali/120 CS/2015	EPI_ISL_207457	Africa	 Mali
A/Mali/122 CI/2015	EPI_ISL_212366	Africa	 Mali
A/Mali/125 CI/2015	EPI_ISL_213004	Africa	 Mali
A/Mali/128 CI/2015	EPI_ISL_206172	Africa	 Mali
A/Mali/13 HOP/2015	EPI_ISL_206198	Africa	 Mali
A/Mali/130 CI/2015	EPI_ISL_211686	Africa	 Mali
A/Mali/136 CI/2015	EPI_ISL_211694	Africa	 Mali
A/Mali/141 CI/2015	EPI_ISL_211684	Africa	 Mali
A/Mali/153 CI/2015	EPI_ISL_213005	Africa	 Mali
A/Mali/174 CI/2015	EPI_ISL_211913	Africa	 Mali
A/Mali/179 CH/2015	EPI_ISL_206174	Africa	 Mali
A/Mali/182 CH/2015	EPI_ISL_206177	Africa	 Mali
A/Mali/186 CH/2015	EPI_ISL_206178	Africa	 Mali
A/Mali/187 CIV/2015	EPI_ISL_206179	Africa	 Mali
A/Mali/193 CI/2015	EPI_ISL_206176	Africa	 Mali
A/Mali/198 CH/2015	EPI_ISL_206197	Africa	 Mali
A/Mali/202 CH/2015	EPI_ISL_207434	Africa	 Mali
A/Mali/205 CI/2015	EPI_ISL_206183	Africa	 Mali
A/Mali/206 CI/2015	EPI_ISL_206184	Africa	 Mali
A/Mali/208 CI/2015	EPI_ISL_206185	Africa	 Mali
A/Mali/209 CH/2015	EPI_ISL_206206	Africa	 Mali
A/Mali/210 CI/2015	EPI_ISL_206186	Africa	 Mali
A/Mali/214 CI/2015	EPI_ISL_206189	Africa	 Mali
A/Mali/215 CH/2015	EPI_ISL_206211	Africa	 Mali
A/Mali/215 CI/2015	EPI_ISL_206194	Africa	 Mali
A/Mali/217 CI/2015	EPI_ISL_206195	Africa	 Mali
A/Mali/218 CI/2015	EPI_ISL_206196	Africa	 Mali
A/Mali/219 CH/2015	EPI_ISL_206216	Africa	 Mali
A/Mali/22 SIK/2015	EPI_ISL_206182	Africa	 Mali
A/Mali/229 CI/2015	EPI_ISL_207422	Africa	 Mali
A/Mali/230 CI/2015	EPI_ISL_206200	Africa	 Mali
A/Mali/231 CI/2015	EPI_ISL_206201	Africa	 Mali
A/Mali/234 CI/2015	EPI_ISL_207395	Africa	 Mali
A/Mali/236 CI/2015	EPI_ISL_206204	Africa	 Mali
A/Mali/237 CI/2015	EPI_ISL_207455	Africa	 Mali
A/Mali/238 CI/2015	EPI_ISL_207394	Africa	 Mali
A/Mali/241 CI/2015	EPI_ISL_206207	Africa	 Mali
A/Mali/244 CI/2015	EPI_ISL_206210	Africa	 Mali
A/Mali/247 CI/2015	EPI_ISL_206214	Africa	 Mali
A/Mali/29 MOP/2015	EPI_ISL_206173	Africa	 Mali
A/Mali/30 HOP/2015	EPI_ISL_206213	Africa	 Mali
A/Mali/30 SIK/2015	EPI_ISL_206199	Africa	 Mali
A/Mali/45 CS/2015	EPI_ISL_206167	Africa	 Mali
A/Mali/49 CS/2015	EPI_ISL_206169	Africa	 Mali
A/Mali/56 CS/2015	EPI_ISL_206171	Africa	 Mali
A/Mali/61 CH/2015	EPI_ISL_206166	Africa	 Mali
A/Mali/81 CH/2015	EPI_ISL_225102	Africa	 Mali
A/Mali/90 CS/2015	EPI_ISL_206175	Africa	 Mali
A/Mayotte/2093/2016	EPI_ISL_331761	Africa	 Mayotte
A/Moramanga/1942/2016	EPI_ISL_230306	Africa	 Madagascar
A/Mozambique/207/2016	EPI_ISL_237366	Africa	 Mozambique
A/Mozambique/415/2016	EPI_ISL_237367	Africa	 Mozambique
A/MUWRP-Uganda/566/2015	EPI_ISL_381588	Africa	 Uganda
A/MUWRP-Uganda/579/2016	EPI_ISL_381584	Africa	 Uganda
A/MUWRP-Uganda/580/2016	EPI_ISL_381598	Africa	 Uganda
A/Nigeria/120/2014	EPI_ISL_192158	Africa	 Nigeria
A/Nigeria/235/2015	EPI_ISL_207025	Africa	 Nigeria
A/Nigeria/253/2015	EPI_ISL_203567	Africa	 Nigeria
A/Nigeria/299/2015	EPI_ISL_203587	Africa	 Nigeria
A/Nigeria/300/2015	EPI_ISL_203588	Africa	 Nigeria
A/Nigeria/357/2015	EPI_ISL_211919	Africa	 Nigeria
A/Nigeria/71/2014	EPI_ISL_192189	Africa	 Nigeria
A/Nigeria/928/2014	EPI_ISL_192190	Africa	 Nigeria
A/Nigeria/942/2014	EPI_ISL_192157	Africa	 Nigeria
A/Nosy Be/1060/2016	EPI_ISL_230302	Africa	 Madagascar
A/Reunion/2032/2016	EPI_ISL_331764	Africa	 Reunion
A/Reunion/2037/2016	EPI_ISL_331766	Africa	 Reunion
A/Reunion/2038/2016	EPI_ISL_331767	Africa	 Reunion
A/Reunion/2120/2016	EPI_ISL_331768	Africa	 Reunion
A/Reunion/2122/2016	EPI_ISL_331769	Africa	 Reunion
A/Rwanda/526/2016	EPI_ISL_232538	Africa	 Rwanda
A/Rwanda/535/2016	EPI_ISL_232563	Africa	 Rwanda
A/Rwanda/572/2016	EPI_ISL_235537	Africa	 Rwanda
A/Rwanda/577/2016	EPI_ISL_237337	Africa	 Rwanda
A/Rwanda/600/2016	EPI_ISL_232093	Africa	 Rwanda
A/Rwanda/635/2016	EPI_ISL_232564	Africa	 Rwanda
A/Rwanda/664/2016	EPI_ISL_232094	Africa	 Rwanda
A/Rwanda/665/2016	EPI_ISL_232095	Africa	 Rwanda
A/Rwanda/675/2016	EPI_ISL_232096	Africa	 Rwanda
A/Rwanda/685/2016	EPI_ISL_232079	Africa	 Rwanda
A/South Africa/2843/2016	EPI_ISL_230295	Africa	 South Africa
A/South Africa/3285/2016	EPI_ISL_230296	Africa	 South Africa
A/South Africa/3437/2016	EPI_ISL_230297	Africa	 South Africa
A/South Africa/3680/2016	EPI_ISL_230298	Africa	 South Africa
A/South Africa/3731/2016	EPI_ISL_232562	Africa	 South Africa
A/South Africa/3743/2016	EPI_ISL_230301	Africa	 South Africa
A/South Africa/3776/2016	EPI_ISL_230299	Africa	 South Africa
A/South Africa/3892/2016	EPI_ISL_233726	Africa	 South Africa
A/South Africa/3913/2015	EPI_ISL_211679	Africa	 South Africa
A/South Africa/3913/2016	EPI_ISL_230300	Africa	 South Africa
A/South Africa/3915/2015	EPI_ISL_211682	Africa	 South Africa
A/South Africa/3984/2015	EPI_ISL_212370	Africa	 South Africa
A/South Africa/4033/2015	EPI_ISL_211683	Africa	 South Africa
A/South Africa/4069/2016	EPI_ISL_232540	Africa	 South Africa
A/South Africa/4120/2015	EPI_ISL_212371	Africa	 South Africa
A/South Africa/4146/2016	EPI_ISL_232541	Africa	 South Africa
A/South Africa/4244/2015	EPI_ISL_213019	Africa	 South Africa
A/South Africa/4283/2015	EPI_ISL_213020	Africa	 South Africa
A/South Africa/4363/2016	EPI_ISL_232555	Africa	 South Africa
A/South Africa/4438/2015	EPI_ISL_211705	Africa	 South Africa
A/South Africa/4639/2016	EPI_ISL_232543	Africa	 South Africa
A/South Africa/4940/2015	EPI_ISL_205282	Africa	 South Africa
A/South Africa/4940/2016	EPI_ISL_232991	Africa	 South Africa
A/South Africa/4989/2016	EPI_ISL_232545	Africa	 South Africa
A/South Africa/4990/2016	EPI_ISL_232546	Africa	 South Africa
A/South Africa/4993/2016	EPI_ISL_232547	Africa	 South Africa
A/South Africa/5000/2016	EPI_ISL_237476	Africa	 South Africa
A/South Africa/5002/2016	EPI_ISL_237477	Africa	 South Africa
A/South Africa/5008/2016	EPI_ISL_237478	Africa	 South Africa
A/South Africa/5034/2016	EPI_ISL_237479	Africa	 South Africa
A/South Africa/5035/2016	EPI_ISL_237480	Africa	 South Africa
A/South Africa/5231/2016	EPI_ISL_237481	Africa	 South Africa
A/South Africa/5232/2016	EPI_ISL_237482	Africa	 South Africa
A/South Africa/5233/2016	EPI_ISL_237483	Africa	 South Africa
A/South Africa/5390/2015	EPI_ISL_205284	Africa	 South Africa
A/South Africa/6018/2015	EPI_ISL_206111	Africa	 South Africa
A/South Africa/6131/2015	EPI_ISL_205283	Africa	 South Africa
A/South Africa/6270/2015	EPI_ISL_205281	Africa	 South Africa
A/Tanzania/1906/2014	EPI_ISL_172814	Africa	 Tanzania
A/Tanzania/2105/2015	EPI_ISL_212061	Africa	 Tanzania
A/Tanzania/2158/2016	EPI_ISL_230366	Africa	 Tanzania
A/Tanzania/2173/2016	EPI_ISL_235075	Africa	 Tanzania
A/Tanzania/2182/2016	EPI_ISL_235077	Africa	 Tanzania
A/Tanzania/2198/2016	EPI_ISL_230367	Africa	 Tanzania
A/Tanzania/2218/2016	EPI_ISL_232108	Africa	 Tanzania
A/Tanzania/2220/2016	EPI_ISL_230368	Africa	 Tanzania
A/Tanzania/2223/2016	EPI_ISL_230369	Africa	 Tanzania
A/Tanzania/2228/2016	EPI_ISL_230370	Africa	 Tanzania
A/Tanzania/2230/2016	EPI_ISL_232098	Africa	 Tanzania
A/Tanzania/2231/2016	EPI_ISL_230371	Africa	 Tanzania
A/Tanzania/2239/2016	EPI_ISL_230372	Africa	 Tanzania
A/Tanzania/2240/2016	EPI_ISL_230373	Africa	 Tanzania
A/Tanzania/2665/2014	EPI_ISL_172784	Africa	 Tanzania
A/Tanzania/2915/2016	EPI_ISL_232092	Africa	 Tanzania
A/Tanzania/2943/2016	EPI_ISL_235073	Africa	 Tanzania
A/Tanzania/3552/2014	EPI_ISL_172781	Africa	 Tanzania
A/Tanzania/3555/2014	EPI_ISL_172796	Africa	 Tanzania
A/Tanzania/3556/2014	EPI_ISL_172800	Africa	 Tanzania
A/Tanzania/3557/2014	EPI_ISL_172752	Africa	 Tanzania
A/Tanzania/3559/2014	EPI_ISL_172802	Africa	 Tanzania
A/Tanzania/3560/2014	EPI_ISL_174137	Africa	 Tanzania
A/Tanzania/3561/2014	EPI_ISL_172797	Africa	 Tanzania
A/Tanzania/3562/2014	EPI_ISL_172750	Africa	 Tanzania
A/Tanzania/3563/2014	EPI_ISL_174124	Africa	 Tanzania
A/Tanzania/3565/2014	EPI_ISL_174125	Africa	 Tanzania
A/Tanzania/3576/2014	EPI_ISL_174126	Africa	 Tanzania
A/Tanzania/3577/2014	EPI_ISL_174127	Africa	 Tanzania
A/Tanzania/3580/2014	EPI_ISL_172737	Africa	 Tanzania
A/Tanzania/3588/2014	EPI_ISL_172787	Africa	 Tanzania
A/Tanzania/3589/2014	EPI_ISL_172789	Africa	 Tanzania
A/Tanzania/3591/2014	EPI_ISL_175205	Africa	 Tanzania
A/Tanzania/3594/2014	EPI_ISL_172811	Africa	 Tanzania
A/Tanzania/3595/2014	EPI_ISL_175202	Africa	 Tanzania
A/Tanzania/533/2014	EPI_ISL_174120	Africa	 Tanzania
A/Tanzania/542/2014	EPI_ISL_172759	Africa	 Tanzania
A/Tanzania/553/2014	EPI_ISL_172803	Africa	 Tanzania
A/Tanzania/554/2014	EPI_ISL_174121	Africa	 Tanzania
A/Tanzania/562/2014	EPI_ISL_172755	Africa	 Tanzania
A/Tanzania/587/2014	EPI_ISL_188871	Africa	 Tanzania
A/Tanzania/588/2014	EPI_ISL_172785	Africa	 Tanzania
A/Tanzania/590/2014	EPI_ISL_172776	Africa	 Tanzania
A/Tanzania/594/2014	EPI_ISL_172773	Africa	 Tanzania
A/Tanzania/596/2014	EPI_ISL_172774	Africa	 Tanzania
A/Tanzania/597/2014	EPI_ISL_172799	Africa	 Tanzania
A/Tanzania/599/2014	EPI_ISL_172777	Africa	 Tanzania
A/Tanzania/609/2014	EPI_ISL_172788	Africa	 Tanzania
A/Tanzania/613/2014	EPI_ISL_175197	Africa	 Tanzania
A/Tanzania/670/2015	EPI_ISL_211931	Africa	 Tanzania
A/Tanzania/673/2016	EPI_ISL_230364	Africa	 Tanzania
A/Tanzania/698/2016	EPI_ISL_230365	Africa	 Tanzania
A/Uganda/0146/2016	EPI_ISL_225057	Africa	 Uganda
A/Uganda/0182/2016	EPI_ISL_235104	Africa	 Uganda
A/Uganda/1590/2014	EPI_ISL_177540	Africa	 Uganda
A/Uganda/1610/2016	EPI_ISL_226798	Africa	 Uganda
A/Uganda/2447/2016	EPI_ISL_255342	Africa	 Uganda
A/Uganda/274/2016	EPI_ISL_225058	Africa	 Uganda
A/Uganda/4829/2016	EPI_ISL_225065	Africa	 Uganda
A/Uganda/5535/2016	EPI_ISL_235101	Africa	 Uganda
A/Uganda/583/2014	EPI_ISL_177536	Africa	 Uganda
A/Zambia/0001/2015	EPI_ISL_220273	Africa	 Zambia
A/Zambia/0002/2015	EPI_ISL_220274	Africa	 Zambia
A/Zambia/0008/2015	EPI_ISL_220272	Africa	 Zambia
A/Zambia/0102/2015	EPI_ISL_220275	Africa	 Zambia
A/Afghanistan/4932/2016	EPI_ISL_255318	Asia 	 Afghanistan
A/Afghanistan/4959/2016	EPI_ISL_259140	Asia 	 Afghanistan
A/Bangladesh/10009/2014	EPI_ISL_168105	Asia 	 Bangladesh
A/Bangladesh/1002002/2015	EPI_ISL_212959	Asia 	 Bangladesh
A/Bangladesh/1005001/2015	EPI_ISL_219104	Asia 	 Bangladesh
A/Bangladesh/1010002/2015	EPI_ISL_219110	Asia 	 Bangladesh
A/Bangladesh/2015/2016	EPI_ISL_235533	Asia 	 Bangladesh
A/Bangladesh/202004/2015	EPI_ISL_219133	Asia 	 Bangladesh
A/Bangladesh/2170/2015	EPI_ISL_208631	Asia 	 Bangladesh
A/Bangladesh/22014/2015	EPI_ISL_202076	Asia 	 Bangladesh
A/Bangladesh/222/2016	EPI_ISL_242688	Asia 	 Bangladesh
A/Bangladesh/3014/2015	EPI_ISL_201266	Asia 	 Bangladesh
A/Bangladesh/3075/2016	EPI_ISL_233472	Asia 	 Bangladesh
A/Bangladesh/429/2016	EPI_ISL_239163	Asia 	 Bangladesh
A/Bangladesh/5010/2016	EPI_ISL_238625	Asia 	 Bangladesh
A/Bangladesh/5968/2015	EPI_ISL_202074	Asia 	 Bangladesh
A/Bangladesh/7006/2015	EPI_ISL_201265	Asia 	 Bangladesh
A/Bangladesh/708004/2016	EPI_ISL_238609	Asia 	 Bangladesh
A/Bangladesh/711004/2016	EPI_ISL_234989	Asia 	 Bangladesh
A/Bangladesh/903006/2015	EPI_ISL_211677	Asia 	 Bangladesh
A/Bangladesh/905004/2015	EPI_ISL_208579	Asia 	 Bangladesh
A/Bangladesh/914004/2015	EPI_ISL_219096	Asia 	 Bangladesh
A/Bangladesh/914006/2015	EPI_ISL_219097	Asia 	 Bangladesh
A/Bangladesh/914007/2015	EPI_ISL_219102	Asia 	 Bangladesh
A/Busan/1996/2014	EPI_ISL_171372	Asia 	Korea
A/Cambodia/0840/2015	EPI_ISL_212141	Asia 	 Cambodia
A/Cambodia/0869/2015	EPI_ISL_212363	Asia 	 Cambodia
A/Cambodia/0887/2015	EPI_ISL_212364	Asia 	 Cambodia
A/Cambodia/0911/2015	EPI_ISL_208636	Asia 	 Cambodia
A/Cambodia/0924/2015	EPI_ISL_208624	Asia 	 Cambodia
A/Cambodia/0942/2015	EPI_ISL_212146	Asia 	 Cambodia
A/Cambodia/1201/2015	EPI_ISL_215250	Asia 	 Cambodia
A/Cambodia/1370/2014	EPI_ISL_175194	Asia 	 Cambodia
A/Cambodia/1372/2014	EPI_ISL_175195	Asia 	 Cambodia
A/CAMBODIA/FSS28237/2014	EPI_ISL_168891	Asia 	 Cambodia
A/Chanthaburi/594/2015	EPI_ISL_219116	Asia 	 Thailand
A/CHIBA-C/86/2016	EPI_ISL_224689	Asia 	 Japan
A/China/51340/2014	EPI_ISL_393367	Asia 	 China
A/China/55312/2014	EPI_ISL_393369	Asia 	 China
A/China/59882/2014	EPI_ISL_393372	Asia 	 China
A/China/60134/2014	EPI_ISL_393374	Asia 	 China
A/China/61001/2014	EPI_ISL_393395	Asia 	 China
A/China/61461/2014	EPI_ISL_393400	Asia 	 China
A/China/61559/2014	EPI_ISL_393402	Asia 	 China
A/China/62885/2015	EPI_ISL_393406	Asia 	 China
A/China/70219/2015	EPI_ISL_393415	Asia 	 China
A/China/71517/2016	EPI_ISL_393417	Asia 	 China
A/China/79880/2016	EPI_ISL_393423	Asia 	 China
A/China/80241/2016	EPI_ISL_393422	Asia 	 China
A/China/J7503/2014	EPI_ISL_393376	Asia 	 China
A/China/J7506/2014	EPI_ISL_393380	Asia 	 China
A/EHIME/20/2016	EPI_ISL_218457	Asia 	 Japan
A/FUKUI/48/2016	EPI_ISL_224227	Asia 	 Japan
A/FUKUSHIMA/74/2016	EPI_ISL_222747	Asia 	 Japan
A/Gangwon/1602/2015	EPI_ISL_212983	Asia 	Korea
A/Georgia/NCDC1045/2016	EPI_ISL_232106	Asia 	 Georgia
A/GIFU/32/2016	EPI_ISL_240544	Asia 	 Japan
A/Gunma/14G002/2015	EPI_ISL_176322	Asia 	 Japan 
A/Hokkaido/06/2015	EPI_ISL_197544	Asia 	 Japan
A/Hong Kong/15607/2015	EPI_ISL_203411	Asia 	 Hong Kong (SAR)
A/Hong Kong/1704/2016	EPI_ISL_230309	Asia 	 Hong Kong (SAR)
A/Hong Kong/2398/2016	EPI_ISL_234045	Asia 	 Hong Kong (SAR)
A/Hong Kong/39/2016	EPI_ISL_213986	Asia 	 Hong Kong (SAR)
A/Hong Kong/40/2016	EPI_ISL_219135	Asia 	 Hong Kong (SAR)
A/Hong Kong/4801/2014	EPI_ISL_233740	Asia 	 Hong Kong (SAR)
A/HYOGO/3213/2015	EPI_ISL_177425	Asia 	 Japan
A/Hyogo/4001/2014	EPI_ISL_197565	Asia 	 Japan
A/Jordan/30024/2015	EPI_ISL_195881	Asia 	 Jordan
A/KANAGAWA/AC1601/2016	EPI_ISL_238898	Asia 	 Japan
A/KANAGAWA/AC1603/2016	EPI_ISL_239614	Asia 	 Japan
A/KANAGAWA/AC1606/2016	EPI_ISL_239620	Asia 	 Japan
A/KANAGAWA/AC1607/2016	EPI_ISL_239621	Asia 	 Japan
A/KANAGAWA/AC1614/2016	EPI_ISL_252769	Asia 	 Japan
A/KANAGAWA/AC21/2016	EPI_ISL_218460	Asia 	 Japan
A/KANAGAWA/IC1604/2016	EPI_ISL_252771	Asia 	 Japan
A/Kazakhstan/008/2016	EPI_ISL_258286	Asia 	 Kazakhstan
A/Kazakhstan/10/2015	EPI_ISL_206129	Asia 	 Kazakhstan
A/Kazakhstan/1080/2015	EPI_ISL_192710	Asia 	 Kazakhstan
A/Kazakhstan/15/2014	EPI_ISL_175231	Asia 	 Kazakhstan
A/Kazakhstan/158/2015	EPI_ISL_189848	Asia 	 Kazakhstan
A/Kazakhstan/159/2015	EPI_ISL_189841	Asia 	 Kazakhstan
A/Kazakhstan/194/2014	EPI_ISL_191030	Asia 	 Kazakhstan
A/Kazakhstan/22/2015	EPI_ISL_175232	Asia 	 Kazakhstan
A/Kazakhstan/276/2016	EPI_ISL_224024	Asia 	 Kazakhstan
A/Kazakhstan/352/2015	EPI_ISL_192175	Asia 	 Kazakhstan
A/Kazakhstan/38/2015	EPI_ISL_176520	Asia 	 Kazakhstan
A/Kazakhstan/44/2015	EPI_ISL_206130	Asia 	 Kazakhstan
A/Kazakhstan/49/2015	EPI_ISL_175250	Asia 	 Kazakhstan
A/Kazakhstan/6690/2016	EPI_ISL_270199	Asia 	 Kazakhstan
A/Kazakhstan/951/2015	EPI_ISL_176517	Asia 	 Kazakhstan
A/Keelung/0023/2016	EPI_ISL_253770	Asia 	 Taiwan
A/KOCHI/15/2015	EPI_ISL_178090	Asia 	 Japan
A/KUMAMOTO/32/2015	EPI_ISL_210371	Asia 	 Japan
A/Kyoto/13K054/2014	EPI_ISL_176990	Asia 	 Japan
A/Laos/052/2015	EPI_ISL_194170	Asia 	Lao
A/Laos/1047/2015	EPI_ISL_215783	Asia 	Lao
A/Laos/218/2015	EPI_ISL_200691	Asia 	Lao
A/Laos/3158/2016	EPI_ISL_240146	Asia 	Lao
A/Laos/3286/2016	EPI_ISL_244846	Asia 	Lao
A/Laos/406/2015	EPI_ISL_215785	Asia 	Lao
A/Laos/439/2015	EPI_ISL_215786	Asia 	Lao
A/Laos/448/2015	EPI_ISL_215787	Asia 	Lao
A/Laos/529/2015	EPI_ISL_200694	Asia 	Lao
A/Laos/535/2015	EPI_ISL_200695	Asia 	Lao
A/Laos/898/2015	EPI_ISL_206104	Asia 	Lao
A/Laos/913/2015	EPI_ISL_206105	Asia 	Lao
A/Laos/928/2015	EPI_ISL_206107	Asia 	Lao
A/Laos/933/2015	EPI_ISL_206109	Asia 	Lao
A/Laos/951/2015	EPI_ISL_215788	Asia 	Lao
A/Laos/F3572/2016	EPI_ISL_246752	Asia 	Lao
A/Laos/I1002/2015	EPI_ISL_210359	Asia 	Lao
A/Laos/I660/2015	EPI_ISL_202289	Asia 	Lao
